"","timeframe",""
"443","2010-02-18 - 2013-01-03"," - "
"444","2010-02-25 - 2013-01-10"," - "
"445","2010-03-04 - 2013-01-17"," - "
"446","2010-03-11 - 2013-01-24"," - "
"447","2010-03-18 - 2013-01-31"," - "
"448","2010-03-25 - 2013-02-07"," - "
"449","2010-04-01 - 2013-02-14"," - "
"450","2010-04-08 - 2013-02-21"," - "
"451","2010-04-15 - 2013-02-28"," - "
"452","2010-04-22 - 2013-03-07"," - "
"453","2010-04-29 - 2013-03-14"," - "
"454","2010-05-06 - 2013-03-21"," - "
"455","2010-05-13 - 2013-03-28"," - "
"456","2010-05-20 - 2013-04-04"," - "
"457","2010-05-27 - 2013-04-11"," - "
"458","2010-06-03 - 2013-04-18"," - "
"459","2010-06-10 - 2013-04-25"," - "
"460","2010-06-17 - 2013-05-02"," - "
"461","2010-06-24 - 2013-05-09"," - "
"462","2010-07-01 - 2013-05-16"," - "
"463","2010-07-08 - 2013-05-23","MEX_B_1 - USA_B_1"
"464","2010-07-15 - 2013-05-30","MEX_B_1 - USA_B_1"
"465","2010-07-22 - 2013-06-06","MEX_B_1 - USA_B_1"
"466","2010-07-29 - 2013-06-13"," - "
"467","2010-08-05 - 2013-06-20"," - "
"468","2010-08-12 - 2013-06-27"," - "
"469","2010-08-19 - 2013-07-04"," - "
"470","2010-08-26 - 2013-07-11"," - "
"471","2010-09-02 - 2013-07-18"," - "
"472","2010-09-09 - 2013-07-25"," - "
"473","2010-09-16 - 2013-08-01"," - "
"474","2010-09-23 - 2013-08-08"," - "
"475","2010-09-30 - 2013-08-15"," - "
"476","2010-10-07 - 2013-08-22"," - "
"477","2010-10-14 - 2013-08-29"," - "
"478","2010-10-21 - 2013-09-05"," - "
"479","2010-10-28 - 2013-09-12"," - "
"480","2010-11-04 - 2013-09-19"," - "
"481","2010-11-11 - 2013-09-26"," - "
"482","2010-11-18 - 2013-10-03"," - "
"483","2010-11-25 - 2013-10-10","NOR_B_1 - JPN_B_1"
"484","2010-12-02 - 2013-10-17","NOR_B_1 - JPN_B_1"
"485","2010-12-09 - 2013-10-24","NOR_B_1 - JPN_B_1"
"486","2010-12-16 - 2013-10-31"," - "
"487","2010-12-23 - 2013-11-07"," - "
"488","2010-12-30 - 2013-11-14","CHN_B_1 - MEX_B_1"
"489","2011-01-06 - 2013-11-21","CHN_B_1 - MEX_B_1"
"490","2011-01-13 - 2013-11-28","CHN_B_1 - MEX_B_1"
"491","2011-01-20 - 2013-12-05","CHN_B_1 - MEX_B_1"
"492","2011-01-27 - 2013-12-12"," - "
"493","2011-02-03 - 2013-12-19"," - "
"494","2011-02-10 - 2013-12-26"," - "
"495","2011-02-17 - 2014-01-02"," - "
"496","2011-02-24 - 2014-01-09"," - "
"497","2011-03-03 - 2014-01-16"," - "
"498","2011-03-10 - 2014-01-23"," - "
"499","2011-03-17 - 2014-01-30"," - "
"500","2011-03-24 - 2014-02-06"," - "
"501","2011-03-31 - 2014-02-13"," - "
"502","2011-04-07 - 2014-02-20"," - "
"503","2011-04-14 - 2014-02-27"," - "
"504","2011-04-21 - 2014-03-06","CAN_B_1 - GBR_B_1"
"505","2011-04-28 - 2014-03-13"," - "
"506","2011-05-05 - 2014-03-20"," - "
"507","2011-05-12 - 2014-03-27"," - "
"508","2011-05-19 - 2014-04-03"," - "
"509","2011-05-26 - 2014-04-10"," - "
"510","2011-06-02 - 2014-04-17"," - "
"511","2011-06-09 - 2014-04-24"," - "
"512","2011-06-16 - 2014-05-01"," - "
"513","2011-06-23 - 2014-05-08"," - "
"514","2011-06-30 - 2014-05-15"," - "
"515","2011-07-07 - 2014-05-22"," - "
"516","2011-07-14 - 2014-05-29"," - "
"517","2011-07-21 - 2014-06-05"," - "
"518","2011-07-28 - 2014-06-12"," - "
"519","2011-08-04 - 2014-06-19"," - "
"520","2011-08-11 - 2014-06-26"," - "
"521","2011-08-18 - 2014-07-03"," - "
"522","2011-08-25 - 2014-07-10"," - "
"523","2011-09-01 - 2014-07-17"," - "
"524","2011-09-08 - 2014-07-24"," - "
"525","2011-09-15 - 2014-07-31"," - "
"526","2011-09-22 - 2014-08-07"," - "
"527","2011-09-29 - 2014-08-14"," - "
"528","2011-10-06 - 2014-08-21"," - "
"529","2011-10-13 - 2014-08-28"," - "
"530","2011-10-20 - 2014-09-04"," - "
"531","2011-10-27 - 2014-09-11"," - "
"532","2011-11-03 - 2014-09-18"," - "
"533","2011-11-10 - 2014-09-25"," - "
"534","2011-11-17 - 2014-10-02"," - "
"535","2011-11-24 - 2014-10-09"," - "
"536","2011-12-01 - 2014-10-16"," - "
"537","2011-12-08 - 2014-10-23"," - "
"538","2011-12-15 - 2014-10-30"," - "
"539","2011-12-22 - 2014-11-06"," - "
"540","2011-12-29 - 2014-11-13"," - "
"541","2012-01-05 - 2014-11-20"," - "
"542","2012-01-12 - 2014-11-27"," - "
"543","2012-01-19 - 2014-12-04"," - "
"544","2012-01-26 - 2014-12-11"," - "
"545","2012-02-02 - 2014-12-18"," - "
"546","2012-02-09 - 2014-12-25"," - "
"547","2012-02-16 - 2015-01-01"," - "
"548","2012-02-23 - 2015-01-08"," - "
"549","2012-03-01 - 2015-01-15"," - "
"550","2012-03-08 - 2015-01-22"," - "
"551","2012-03-15 - 2015-01-29"," - "
"552","2012-03-22 - 2015-02-05"," - "
"553","2012-03-29 - 2015-02-12"," - "
"554","2012-04-05 - 2015-02-19"," - "
"555","2012-04-12 - 2015-02-26"," - "
"556","2012-04-19 - 2015-03-05"," - "
"557","2012-04-26 - 2015-03-12"," - "
"558","2012-05-03 - 2015-03-19","FRA_B_1 - AUS_B_1"
"559","2012-05-10 - 2015-03-26","FRA_B_1 - AUS_B_1"
"560","2012-05-17 - 2015-04-02","FRA_B_1 - AUS_B_1"
"561","2012-05-24 - 2015-04-09","FRA_B_1 - AUS_B_1"
"562","2012-05-31 - 2015-04-16","FRA_B_1 - AUS_B_1"
"563","2012-06-07 - 2015-04-23","FRA_B_1 - AUS_B_1"
"564","2012-06-14 - 2015-04-30","FRA_B_1 - AUS_B_1"
"565","2012-06-21 - 2015-05-07"," - "
"566","2012-06-28 - 2015-05-14"," - "
"567","2012-07-05 - 2015-05-21"," - "
"568","2012-07-12 - 2015-05-28"," - "
"569","2012-07-19 - 2015-06-04"," - "
"570","2012-07-26 - 2015-06-11"," - "
"571","2012-08-02 - 2015-06-18"," - "
"572","2012-08-09 - 2015-06-25"," - "
"573","2012-08-16 - 2015-07-02"," - "
"574","2012-08-23 - 2015-07-09"," - "
"575","2012-08-30 - 2015-07-16"," - "
"576","2012-09-06 - 2015-07-23"," - "
"577","2012-09-13 - 2015-07-30"," - "
"578","2012-09-20 - 2015-08-06"," - "
"579","2012-09-27 - 2015-08-13"," - "
"580","2012-10-04 - 2015-08-20"," - "
"581","2012-10-11 - 2015-08-27"," - "
"582","2012-10-18 - 2015-09-03"," - "
"583","2012-10-25 - 2015-09-10"," - "
"584","2012-11-01 - 2015-09-17"," - "
"585","2012-11-08 - 2015-09-24"," - "
"586","2012-11-15 - 2015-10-01"," - "
"587","2012-11-22 - 2015-10-08"," - "
"588","2012-11-29 - 2015-10-15"," - "
"589","2012-12-06 - 2015-10-22"," - "
"590","2012-12-13 - 2015-10-29"," - "
"591","2012-12-20 - 2015-11-05"," - "
"592","2012-12-27 - 2015-11-12"," - "
"593","2013-01-03 - 2015-11-19"," - "
"594","2013-01-10 - 2015-11-26"," - "
"595","2013-01-17 - 2015-12-03"," - "
"596","2013-01-24 - 2015-12-10"," - "
"597","2013-01-31 - 2015-12-17"," - "
"598","2013-02-07 - 2015-12-24"," - "
"599","2013-02-14 - 2015-12-31"," - "
"600","2013-02-21 - 2016-01-07","JPN_B_1 - CHE_B_1"
"601","2013-02-28 - 2016-01-14","JPN_B_1 - CHE_B_1"
"602","2013-03-07 - 2016-01-21"," - "
"603","2013-03-14 - 2016-01-28"," - "
"604","2013-03-21 - 2016-02-04"," - "
"605","2013-03-28 - 2016-02-11"," - "
"606","2013-04-04 - 2016-02-18"," - "
"607","2013-04-11 - 2016-02-25"," - "
"608","2013-04-18 - 2016-03-03"," - "
"609","2013-04-25 - 2016-03-10"," - "
"610","2013-05-02 - 2016-03-17"," - "
"611","2013-05-09 - 2016-03-24"," - "
"612","2013-05-16 - 2016-03-31"," - "
"613","2013-05-23 - 2016-04-07"," - "
"614","2013-05-30 - 2016-04-14"," - "
"615","2013-06-06 - 2016-04-21"," - "
"616","2013-06-13 - 2016-04-28"," - "
"617","2013-06-20 - 2016-05-05"," - "
"618","2013-06-27 - 2016-05-12"," - "
"619","2013-07-04 - 2016-05-19"," - "
"620","2013-07-11 - 2016-05-26"," - "
"621","2013-07-18 - 2016-06-02"," - "
"622","2013-07-25 - 2016-06-09"," - "
"623","2013-08-01 - 2016-06-16"," - "
"624","2013-08-08 - 2016-06-23"," - "
"625","2013-08-15 - 2016-06-30"," - "
"626","2013-08-22 - 2016-07-07","JPN_B_1 - MEX_B_1"
"627","2013-08-29 - 2016-07-14","JPN_B_1 - MEX_B_1"
"628","2013-09-05 - 2016-07-21","JPN_B_1 - MEX_B_1"
"629","2013-09-12 - 2016-07-28","JPN_B_1 - MEX_B_1"
"630","2013-09-19 - 2016-08-04"," - "
"631","2013-09-26 - 2016-08-11"," - "
"632","2013-10-03 - 2016-08-18"," - "
"633","2013-10-10 - 2016-08-25"," - "
"634","2013-10-17 - 2016-09-01"," - "
"635","2013-10-24 - 2016-09-08"," - "
"636","2013-10-31 - 2016-09-15"," - "
"637","2013-11-07 - 2016-09-22"," - "
"638","2013-11-14 - 2016-09-29"," - "
"639","2013-11-21 - 2016-10-06"," - "
"640","2013-11-28 - 2016-10-13"," - "
"641","2013-12-05 - 2016-10-20"," - "
"642","2013-12-12 - 2016-10-27"," - "
"643","2013-12-19 - 2016-11-03"," - "
"644","2013-12-26 - 2016-11-10"," - "
"645","2014-01-02 - 2016-11-17"," - "
"646","2014-01-09 - 2016-11-24"," - "
"647","2014-01-16 - 2016-12-01"," - "
"648","2014-01-23 - 2016-12-08"," - "
"649","2014-01-30 - 2016-12-15"," - "
"650","2014-02-06 - 2016-12-22"," - "
"651","2014-02-13 - 2016-12-29"," - "
"652","2014-02-20 - 2017-01-05"," - "
"653","2014-02-27 - 2017-01-12"," - "
"654","2014-03-06 - 2017-01-19"," - "
"655","2014-03-13 - 2017-01-26"," - "
"656","2014-03-20 - 2017-02-02"," - "
"657","2014-03-27 - 2017-02-09"," - "
"658","2014-04-03 - 2017-02-16"," - "
"659","2014-04-10 - 2017-02-23"," - "
"660","2014-04-17 - 2017-03-02"," - "
"661","2014-04-24 - 2017-03-09"," - "
"662","2014-05-01 - 2017-03-16"," - "
"663","2014-05-08 - 2017-03-23","MEX_B_1 - CHN_B_1"
"664","2014-05-15 - 2017-03-30"," - "
"665","2014-05-22 - 2017-04-06"," - "
"666","2014-05-29 - 2017-04-13"," - "
"667","2014-06-05 - 2017-04-20"," - "
"668","2014-06-12 - 2017-04-27"," - "
"669","2014-06-19 - 2017-05-04"," - "
"670","2014-06-26 - 2017-05-11"," - "
"671","2014-07-03 - 2017-05-18"," - "
"672","2014-07-10 - 2017-05-25"," - "
"673","2014-07-17 - 2017-06-01"," - "
"674","2014-07-24 - 2017-06-08"," - "
"675","2014-07-31 - 2017-06-15"," - "
"676","2014-08-07 - 2017-06-22"," - "
"677","2014-08-14 - 2017-06-29"," - "
"678","2014-08-21 - 2017-07-06"," - "
"679","2014-08-28 - 2017-07-13"," - "
"680","2014-09-04 - 2017-07-20"," - "
"681","2014-09-11 - 2017-07-27"," - "
"682","2014-09-18 - 2017-08-03"," - "
"683","2014-09-25 - 2017-08-10"," - "
"684","2014-10-02 - 2017-08-17"," - "
"685","2014-10-09 - 2017-08-24"," - "
"686","2014-10-16 - 2017-08-31"," - "
"687","2014-10-23 - 2017-09-07"," - "
"688","2014-10-30 - 2017-09-14"," - "
"689","2014-11-06 - 2017-09-21"," - "
"690","2014-11-13 - 2017-09-28"," - "
"691","2014-11-20 - 2017-10-05"," - "
"692","2014-11-27 - 2017-10-12"," - "
"693","2014-12-04 - 2017-10-19","MEX_B_1 - JPN_B_1"
"694","2014-12-11 - 2017-10-26","MEX_B_1 - JPN_B_1"
"695","2014-12-18 - 2017-11-02","MEX_B_1 - JPN_B_1"
"696","2014-12-25 - 2017-11-09","MEX_B_1 - JPN_B_1"
"697","2015-01-01 - 2017-11-16","MEX_B_1 - JPN_B_1"
"698","2015-01-08 - 2017-11-23","MEX_B_1 - JPN_B_1"
"699","2015-01-15 - 2017-11-30","MEX_B_1 - JPN_B_1"
"700","2015-01-22 - 2017-12-07"," - "
"701","2015-01-29 - 2017-12-14"," - "
"702","2015-02-05 - 2017-12-21"," - "
"703","2015-02-12 - 2017-12-28"," - "
"704","2015-02-19 - 2018-01-04"," - "
"705","2015-02-26 - 2018-01-11"," - "
"706","2015-03-05 - 2018-01-18"," - "
"707","2015-03-12 - 2018-01-25"," - "
"708","2015-03-19 - 2018-02-01"," - "
"709","2015-03-26 - 2018-02-08"," - "
"710","2015-04-02 - 2018-02-15"," - "
"711","2015-04-09 - 2018-02-22"," - "
"712","2015-04-16 - 2018-03-01"," - "
"713","2015-04-23 - 2018-03-08"," - "
"714","2015-04-30 - 2018-03-15"," - "
"715","2015-05-07 - 2018-03-22"," - "
"716","2015-05-14 - 2018-03-29"," - "
"717","2015-05-21 - 2018-04-05"," - "
"718","2015-05-28 - 2018-04-12"," - "
"719","2015-06-04 - 2018-04-19"," - "
"720","2015-06-11 - 2018-04-26","MEX_B_1 - JPN_B_1"
"721","2015-06-18 - 2018-05-03"," - "
"722","2015-06-25 - 2018-05-10"," - "
"723","2015-07-02 - 2018-05-17"," - "
"724","2015-07-09 - 2018-05-24"," - "
"725","2015-07-16 - 2018-05-31"," - "
"726","2015-07-23 - 2018-06-07"," - "
"727","2015-07-30 - 2018-06-14"," - "
"728","2015-08-06 - 2018-06-21","MEX_B_1 - JPN_B_1"
"729","2015-08-13 - 2018-06-28","MEX_B_1 - JPN_B_1"
"730","2015-08-20 - 2018-07-05","MEX_B_1 - JPN_B_1"
"731","2015-08-27 - 2018-07-12","MEX_B_1 - JPN_B_1"
"732","2015-09-03 - 2018-07-19","MEX_B_1 - JPN_B_1"
"733","2015-09-10 - 2018-07-26","MEX_B_1 - JPN_B_1"
"734","2015-09-17 - 2018-08-02","MEX_B_1 - JPN_B_1"
"735","2015-09-24 - 2018-08-09"," - "
"736","2015-10-01 - 2018-08-16"," - "
"737","2015-10-08 - 2018-08-23"," - "
"738","2015-10-15 - 2018-08-30"," - "
"739","2015-10-22 - 2018-09-06"," - "
"740","2015-10-29 - 2018-09-13"," - "
"741","2015-11-05 - 2018-09-20"," - "
"742","2015-11-12 - 2018-09-27"," - "
"743","2015-11-19 - 2018-10-04","MEX_B_1 - JPN_B_1"
"744","2015-11-26 - 2018-10-11","MEX_B_1 - JPN_B_1"
"745","2015-12-03 - 2018-10-18","MEX_B_1 - JPN_B_1"
"746","2015-12-10 - 2018-10-25","MEX_B_1 - JPN_B_1"
"747","2015-12-17 - 2018-11-01"," - "
"748","2015-12-24 - 2018-11-08","CHN_B_1 - AUS_B_1"
"749","2015-12-24 - 2018-11-08","MEX_B_1 - JPN_B_1"
"750","2015-12-31 - 2018-11-15","MEX_B_1 - JPN_B_1"
"751","2016-01-07 - 2018-11-22","CHN_B_1 - AUS_B_1"
"752","2016-01-07 - 2018-11-22","MEX_B_1 - JPN_B_1"
"753","2016-01-14 - 2018-11-29","CHN_B_1 - AUS_B_1"
"754","2016-01-14 - 2018-11-29","MEX_B_1 - JPN_B_1"
"755","2016-01-21 - 2018-12-06","CHN_B_1 - AUS_B_1"
"756","2016-01-21 - 2018-12-06","MEX_B_1 - JPN_B_1"
"757","2016-01-28 - 2018-12-13","MEX_B_1 - JPN_B_1"
"758","2016-02-04 - 2018-12-20","MEX_B_1 - JPN_B_1"
"759","2016-02-11 - 2018-12-27"," - "
"760","2016-02-18 - 2019-01-03"," - "
"761","2016-02-25 - 2019-01-10"," - "
"762","2016-03-03 - 2019-01-17"," - "
"763","2016-03-10 - 2019-01-24"," - "
"764","2016-03-17 - 2019-01-31","NOR_B_1 - JPN_B_1"
"765","2016-03-24 - 2019-02-07"," - "
"766","2016-03-31 - 2019-02-14"," - "
"767","2016-04-07 - 2019-02-21"," - "
"768","2016-04-14 - 2019-02-28"," - "
"769","2016-04-21 - 2019-03-07"," - "
"770","2016-04-28 - 2019-03-14"," - "
"771","2016-05-05 - 2019-03-21"," - "
"772","2016-05-12 - 2019-03-28"," - "
"773","2016-05-19 - 2019-04-04"," - "
"774","2016-05-26 - 2019-04-11"," - "
"775","2016-06-02 - 2019-04-18"," - "
"776","2016-06-09 - 2019-04-25"," - "
"777","2016-06-16 - 2019-05-02"," - "
"778","2016-06-23 - 2019-05-09","MEX_B_1 - FRA_B_1"
"779","2016-06-30 - 2019-05-16","MEX_B_1 - FRA_B_1"
"780","2016-07-07 - 2019-05-23","MEX_B_1 - FRA_B_1"
"781","2016-07-14 - 2019-05-30","MEX_B_1 - FRA_B_1"
"782","2016-07-21 - 2019-06-06","MEX_B_1 - FRA_B_1"
"783","2016-07-28 - 2019-06-13","MEX_B_1 - FRA_B_1"
"784","2016-08-04 - 2019-06-20","MEX_B_1 - FRA_B_1"
"785","2016-08-04 - 2019-06-20","USA_B_1 - MEX_B_1"
"786","2016-08-11 - 2019-06-27","MEX_B_1 - FRA_B_1"
"787","2016-08-18 - 2019-07-04","MEX_B_1 - FRA_B_1"
"788","2016-08-25 - 2019-07-11","MEX_B_1 - FRA_B_1"
"789","2016-09-01 - 2019-07-18","MEX_B_1 - FRA_B_1"
"790","2016-09-01 - 2019-07-18","USA_B_1 - MEX_B_1"
"791","2016-09-08 - 2019-07-25","MEX_B_1 - FRA_B_1"
"792","2016-09-15 - 2019-08-01","MEX_B_1 - FRA_B_1"
"793","2016-09-22 - 2019-08-08","MEX_B_1 - FRA_B_1"
"794","2016-09-22 - 2019-08-08","USA_B_1 - MEX_B_1"
"795","2016-09-29 - 2019-08-15","MEX_B_1 - FRA_B_1"
"796","2016-10-06 - 2019-08-22","MEX_B_1 - FRA_B_1"
"797","2016-10-13 - 2019-08-29","MEX_B_1 - FRA_B_1"
"798","2016-10-13 - 2019-08-29","USA_B_1 - MEX_B_1"
"799","2016-10-20 - 2019-09-05","MEX_B_1 - FRA_B_1"
"800","2016-10-20 - 2019-09-05","USA_B_1 - MEX_B_1"
"801","2016-10-27 - 2019-09-12"," - "
"802","2016-11-03 - 2019-09-19","CAN_B_1 - AUS_B_1"
"803","2016-11-10 - 2019-09-26","CAN_B_1 - AUS_B_1"
"804","2016-11-17 - 2019-10-03","CAN_B_1 - AUS_B_1"
"805","2016-11-24 - 2019-10-10","CAN_B_1 - AUS_B_1"
"806","2016-11-24 - 2019-10-10","USA_B_1 - MEX_B_1"
"807","2016-12-01 - 2019-10-17","CAN_B_1 - AUS_B_1"
"808","2016-12-08 - 2019-10-24","CAN_B_1 - AUS_B_1"
"809","2016-12-15 - 2019-10-31","CAN_B_1 - AUS_B_1"
"810","2016-12-22 - 2019-11-07"," - "
"811","2016-12-29 - 2019-11-14","CAN_B_1 - AUS_B_1"
"812","2017-01-05 - 2019-11-21","CAN_B_1 - AUS_B_1"
"813","2017-01-12 - 2019-11-28","CAN_B_1 - AUS_B_1"
"814","2017-01-19 - 2019-12-05","CAN_B_1 - AUS_B_1"
"815","2017-01-26 - 2019-12-12","CAN_B_1 - AUS_B_1"
"816","2017-02-02 - 2019-12-19","CAN_B_1 - AUS_B_1"
"817","2017-02-09 - 2019-12-26"," - "
