"timeframe",""
"2006-09-28 - 2009-08-13","ITA_B_1 - MEX_B_1"
"2006-09-28 - 2009-08-13","CHN_B_1 - NOR_B_1"
"2006-09-28 - 2009-08-13","DEU_B_2 - CAN_B_2"
"2006-09-28 - 2009-08-13","USA_B_2 - CAN_B_2"
"2006-09-28 - 2009-08-13","CHN_B_2 - CHE_B_2"
"2006-09-28 - 2009-08-13","NOR_B_2 - CHE_B_2"
"2006-09-28 - 2009-08-13","GBR_B_2 - DEU_B_2"
"2006-09-28 - 2009-08-13","ITA_B_2 - DEU_B_2"
"2006-09-28 - 2009-08-13","ITA_B_2 - FRA_B_2"
"2006-09-28 - 2009-08-13","NOR_B_2 - FRA_B_2"
"2006-09-28 - 2009-08-13","GBR_B_2 - ITA_B_2"
"2006-09-28 - 2009-08-13","JPN_B_2 - ITA_B_2"
"2006-09-28 - 2009-08-13","AUS_B_2 - JPN_B_2"
"2006-09-28 - 2009-08-13","DEU_B_2 - NOR_B_2"
"2006-09-28 - 2009-08-13","FRA_B_2 - NOR_B_2"
"2006-09-28 - 2009-08-13","JPN_B_2 - NOR_B_2"
"2006-09-28 - 2009-08-13","NOR_B_2 - USA_B_2"
"2006-09-28 - 2009-08-13","CAN_B_3 - DEU_B_3"
"2006-09-28 - 2009-08-13","USA_B_3 - DEU_B_3"
"2006-09-28 - 2009-08-13","CAN_B_3 - FRA_B_3"
"2006-09-28 - 2009-08-13","USA_B_3 - FRA_B_3"
"2006-09-28 - 2009-08-13","USA_B_3 - ITA_B_3"
"2006-09-28 - 2009-08-13","CHE_B_3 - MEX_B_3"
"2006-10-05 - 2009-08-20","CAN_B_1 - AUS_B_1"
"2006-10-05 - 2009-08-20","CHE_B_1 - AUS_B_1"
"2006-10-05 - 2009-08-20","CHN_B_1 - FRA_B_1"
"2006-10-05 - 2009-08-20","CHE_B_1 - GBR_B_1"
"2006-10-05 - 2009-08-20","USA_B_1 - GBR_B_1"
"2006-10-05 - 2009-08-20","CHN_B_1 - ITA_B_1"
"2006-10-05 - 2009-08-20","FRA_B_1 - ITA_B_1"
"2006-10-05 - 2009-08-20","GBR_B_1 - MEX_B_1"
"2006-10-05 - 2009-08-20","ITA_B_1 - MEX_B_1"
"2006-10-05 - 2009-08-20","CHN_B_1 - NOR_B_1"
"2006-10-05 - 2009-08-20","AUS_B_2 - CAN_B_2"
"2006-10-05 - 2009-08-20","DEU_B_2 - CAN_B_2"
"2006-10-05 - 2009-08-20","CHN_B_2 - CHE_B_2"
"2006-10-05 - 2009-08-20","GBR_B_2 - DEU_B_2"
"2006-10-05 - 2009-08-20","ITA_B_2 - DEU_B_2"
"2006-10-05 - 2009-08-20","ITA_B_2 - FRA_B_2"
"2006-10-05 - 2009-08-20","NOR_B_2 - FRA_B_2"
"2006-10-05 - 2009-08-20","GBR_B_2 - ITA_B_2"
"2006-10-05 - 2009-08-20","JPN_B_2 - ITA_B_2"
"2006-10-05 - 2009-08-20","AUS_B_2 - JPN_B_2"
"2006-10-05 - 2009-08-20","DEU_B_2 - NOR_B_2"
"2006-10-05 - 2009-08-20","FRA_B_2 - NOR_B_2"
"2006-10-05 - 2009-08-20","NOR_B_2 - USA_B_2"
"2006-10-05 - 2009-08-20","CAN_B_3 - DEU_B_3"
"2006-10-05 - 2009-08-20","USA_B_3 - DEU_B_3"
"2006-10-05 - 2009-08-20","CAN_B_3 - FRA_B_3"
"2006-10-05 - 2009-08-20","USA_B_3 - FRA_B_3"
"2006-10-05 - 2009-08-20","USA_B_3 - ITA_B_3"
"2006-10-05 - 2009-08-20","CHE_B_3 - MEX_B_3"
"2006-10-05 - 2009-08-20","USA_B_3 - MEX_B_3"
"2006-10-12 - 2009-08-27","CAN_B_1 - AUS_B_1"
"2006-10-12 - 2009-08-27","CHE_B_1 - AUS_B_1"
"2006-10-12 - 2009-08-27","ITA_B_1 - CHE_B_1"
"2006-10-12 - 2009-08-27","CHN_B_1 - FRA_B_1"
"2006-10-12 - 2009-08-27","CHE_B_1 - GBR_B_1"
"2006-10-12 - 2009-08-27","USA_B_1 - GBR_B_1"
"2006-10-12 - 2009-08-27","FRA_B_1 - ITA_B_1"
"2006-10-12 - 2009-08-27","GBR_B_1 - MEX_B_1"
"2006-10-12 - 2009-08-27","ITA_B_1 - MEX_B_1"
"2006-10-12 - 2009-08-27","CHN_B_1 - NOR_B_1"
"2006-10-12 - 2009-08-27","AUS_B_2 - CAN_B_2"
"2006-10-12 - 2009-08-27","DEU_B_2 - CAN_B_2"
"2006-10-12 - 2009-08-27","FRA_B_2 - CAN_B_2"
"2006-10-12 - 2009-08-27","CHN_B_2 - CHE_B_2"
"2006-10-12 - 2009-08-27","GBR_B_2 - DEU_B_2"
"2006-10-12 - 2009-08-27","ITA_B_2 - DEU_B_2"
"2006-10-12 - 2009-08-27","ITA_B_2 - FRA_B_2"
"2006-10-12 - 2009-08-27","NOR_B_2 - FRA_B_2"
"2006-10-12 - 2009-08-27","GBR_B_2 - ITA_B_2"
"2006-10-12 - 2009-08-27","JPN_B_2 - ITA_B_2"
"2006-10-12 - 2009-08-27","AUS_B_2 - JPN_B_2"
"2006-10-12 - 2009-08-27","DEU_B_2 - NOR_B_2"
"2006-10-12 - 2009-08-27","FRA_B_2 - NOR_B_2"
"2006-10-12 - 2009-08-27","ITA_B_3 - CAN_B_3"
"2006-10-12 - 2009-08-27","CAN_B_3 - DEU_B_3"
"2006-10-12 - 2009-08-27","USA_B_3 - DEU_B_3"
"2006-10-12 - 2009-08-27","CAN_B_3 - FRA_B_3"
"2006-10-12 - 2009-08-27","USA_B_3 - FRA_B_3"
"2006-10-12 - 2009-08-27","CAN_B_3 - ITA_B_3"
"2006-10-12 - 2009-08-27","CHE_B_3 - ITA_B_3"
"2006-10-12 - 2009-08-27","USA_B_3 - ITA_B_3"
"2006-10-12 - 2009-08-27","CHE_B_3 - MEX_B_3"
"2006-10-12 - 2009-08-27","USA_B_3 - MEX_B_3"
"2006-10-19 - 2009-09-03","CAN_B_1 - AUS_B_1"
"2006-10-19 - 2009-09-03","CHE_B_1 - AUS_B_1"
"2006-10-19 - 2009-09-03","CHN_B_1 - FRA_B_1"
"2006-10-19 - 2009-09-03","CHE_B_1 - GBR_B_1"
"2006-10-19 - 2009-09-03","USA_B_1 - GBR_B_1"
"2006-10-19 - 2009-09-03","CHN_B_1 - ITA_B_1"
"2006-10-19 - 2009-09-03","DEU_B_1 - ITA_B_1"
"2006-10-19 - 2009-09-03","FRA_B_1 - ITA_B_1"
"2006-10-19 - 2009-09-03","GBR_B_1 - MEX_B_1"
"2006-10-19 - 2009-09-03","ITA_B_1 - MEX_B_1"
"2006-10-19 - 2009-09-03","DEU_B_2 - CAN_B_2"
"2006-10-19 - 2009-09-03","FRA_B_2 - CAN_B_2"
"2006-10-19 - 2009-09-03","CHN_B_2 - CHE_B_2"
"2006-10-19 - 2009-09-03","CHE_B_2 - DEU_B_2"
"2006-10-19 - 2009-09-03","GBR_B_2 - DEU_B_2"
"2006-10-19 - 2009-09-03","ITA_B_2 - DEU_B_2"
"2006-10-19 - 2009-09-03","ITA_B_2 - FRA_B_2"
"2006-10-19 - 2009-09-03","NOR_B_2 - FRA_B_2"
"2006-10-19 - 2009-09-03","GBR_B_2 - ITA_B_2"
"2006-10-19 - 2009-09-03","JPN_B_2 - ITA_B_2"
"2006-10-19 - 2009-09-03","DEU_B_2 - NOR_B_2"
"2006-10-19 - 2009-09-03","FRA_B_2 - NOR_B_2"
"2006-10-19 - 2009-09-03","ITA_B_3 - CAN_B_3"
"2006-10-19 - 2009-09-03","CAN_B_3 - DEU_B_3"
"2006-10-19 - 2009-09-03","USA_B_3 - DEU_B_3"
"2006-10-19 - 2009-09-03","CAN_B_3 - FRA_B_3"
"2006-10-19 - 2009-09-03","USA_B_3 - FRA_B_3"
"2006-10-19 - 2009-09-03","CAN_B_3 - ITA_B_3"
"2006-10-19 - 2009-09-03","USA_B_3 - ITA_B_3"
"2006-10-19 - 2009-09-03","CHE_B_3 - MEX_B_3"
"2006-10-19 - 2009-09-03","USA_B_3 - MEX_B_3"
"2006-10-26 - 2009-09-10","CAN_B_1 - AUS_B_1"
"2006-10-26 - 2009-09-10","CHE_B_1 - AUS_B_1"
"2006-10-26 - 2009-09-10","CHN_B_1 - FRA_B_1"
"2006-10-26 - 2009-09-10","CHE_B_1 - GBR_B_1"
"2006-10-26 - 2009-09-10","USA_B_1 - GBR_B_1"
"2006-10-26 - 2009-09-10","CHN_B_1 - ITA_B_1"
"2006-10-26 - 2009-09-10","DEU_B_1 - ITA_B_1"
"2006-10-26 - 2009-09-10","FRA_B_1 - ITA_B_1"
"2006-10-26 - 2009-09-10","GBR_B_1 - MEX_B_1"
"2006-10-26 - 2009-09-10","ITA_B_1 - MEX_B_1"
"2006-10-26 - 2009-09-10","DEU_B_2 - CAN_B_2"
"2006-10-26 - 2009-09-10","CHN_B_2 - CHE_B_2"
"2006-10-26 - 2009-09-10","CHE_B_2 - DEU_B_2"
"2006-10-26 - 2009-09-10","GBR_B_2 - DEU_B_2"
"2006-10-26 - 2009-09-10","ITA_B_2 - DEU_B_2"
"2006-10-26 - 2009-09-10","CHE_B_2 - FRA_B_2"
"2006-10-26 - 2009-09-10","DEU_B_2 - FRA_B_2"
"2006-10-26 - 2009-09-10","ITA_B_2 - FRA_B_2"
"2006-10-26 - 2009-09-10","NOR_B_2 - FRA_B_2"
"2006-10-26 - 2009-09-10","GBR_B_2 - ITA_B_2"
"2006-10-26 - 2009-09-10","JPN_B_2 - ITA_B_2"
"2006-10-26 - 2009-09-10","AUS_B_2 - JPN_B_2"
"2006-10-26 - 2009-09-10","AUS_B_2 - MEX_B_2"
"2006-10-26 - 2009-09-10","CAN_B_2 - MEX_B_2"
"2006-10-26 - 2009-09-10","DEU_B_2 - NOR_B_2"
"2006-10-26 - 2009-09-10","FRA_B_2 - NOR_B_2"
"2006-10-26 - 2009-09-10","NOR_B_2 - USA_B_2"
"2006-10-26 - 2009-09-10","GBR_B_3 - AUS_B_3"
"2006-10-26 - 2009-09-10","ITA_B_3 - CAN_B_3"
"2006-10-26 - 2009-09-10","CAN_B_3 - DEU_B_3"
"2006-10-26 - 2009-09-10","USA_B_3 - DEU_B_3"
"2006-10-26 - 2009-09-10","CAN_B_3 - FRA_B_3"
"2006-10-26 - 2009-09-10","USA_B_3 - FRA_B_3"
"2006-10-26 - 2009-09-10","CAN_B_3 - ITA_B_3"
"2006-10-26 - 2009-09-10","USA_B_3 - ITA_B_3"
"2006-10-26 - 2009-09-10","CHE_B_3 - MEX_B_3"
"2006-11-02 - 2009-09-17","CAN_B_1 - AUS_B_1"
"2006-11-02 - 2009-09-17","CHN_B_1 - FRA_B_1"
"2006-11-02 - 2009-09-17","CHE_B_1 - GBR_B_1"
"2006-11-02 - 2009-09-17","USA_B_1 - GBR_B_1"
"2006-11-02 - 2009-09-17","DEU_B_1 - ITA_B_1"
"2006-11-02 - 2009-09-17","FRA_B_1 - ITA_B_1"
"2006-11-02 - 2009-09-17","GBR_B_1 - MEX_B_1"
"2006-11-02 - 2009-09-17","ITA_B_1 - MEX_B_1"
"2006-11-02 - 2009-09-17","DEU_B_2 - CAN_B_2"
"2006-11-02 - 2009-09-17","CHN_B_2 - CHE_B_2"
"2006-11-02 - 2009-09-17","GBR_B_2 - DEU_B_2"
"2006-11-02 - 2009-09-17","ITA_B_2 - DEU_B_2"
"2006-11-02 - 2009-09-17","ITA_B_2 - FRA_B_2"
"2006-11-02 - 2009-09-17","NOR_B_2 - FRA_B_2"
"2006-11-02 - 2009-09-17","GBR_B_2 - ITA_B_2"
"2006-11-02 - 2009-09-17","JPN_B_2 - ITA_B_2"
"2006-11-02 - 2009-09-17","AUS_B_2 - MEX_B_2"
"2006-11-02 - 2009-09-17","CAN_B_2 - MEX_B_2"
"2006-11-02 - 2009-09-17","DEU_B_2 - NOR_B_2"
"2006-11-02 - 2009-09-17","FRA_B_2 - NOR_B_2"
"2006-11-02 - 2009-09-17","GBR_B_3 - AUS_B_3"
"2006-11-02 - 2009-09-17","ITA_B_3 - CAN_B_3"
"2006-11-02 - 2009-09-17","AUS_B_3 - CHE_B_3"
"2006-11-02 - 2009-09-17","CAN_B_3 - DEU_B_3"
"2006-11-02 - 2009-09-17","USA_B_3 - DEU_B_3"
"2006-11-02 - 2009-09-17","CAN_B_3 - FRA_B_3"
"2006-11-02 - 2009-09-17","USA_B_3 - FRA_B_3"
"2006-11-02 - 2009-09-17","CAN_B_3 - ITA_B_3"
"2006-11-02 - 2009-09-17","USA_B_3 - ITA_B_3"
"2006-11-02 - 2009-09-17","CHE_B_3 - MEX_B_3"
"2006-11-02 - 2009-09-17","USA_B_3 - MEX_B_3"
"2006-11-02 - 2009-09-17","CHN_B_3 - NOR_B_3"
"2006-11-09 - 2009-09-24","CAN_B_1 - AUS_B_1"
"2006-11-09 - 2009-09-24","CHN_B_1 - FRA_B_1"
"2006-11-09 - 2009-09-24","CHE_B_1 - GBR_B_1"
"2006-11-09 - 2009-09-24","USA_B_1 - GBR_B_1"
"2006-11-09 - 2009-09-24","DEU_B_1 - ITA_B_1"
"2006-11-09 - 2009-09-24","FRA_B_1 - ITA_B_1"
"2006-11-09 - 2009-09-24","GBR_B_1 - MEX_B_1"
"2006-11-09 - 2009-09-24","ITA_B_1 - MEX_B_1"
"2006-11-09 - 2009-09-24","DEU_B_2 - CAN_B_2"
"2006-11-09 - 2009-09-24","CHN_B_2 - CHE_B_2"
"2006-11-09 - 2009-09-24","GBR_B_2 - DEU_B_2"
"2006-11-09 - 2009-09-24","ITA_B_2 - DEU_B_2"
"2006-11-09 - 2009-09-24","ITA_B_2 - FRA_B_2"
"2006-11-09 - 2009-09-24","NOR_B_2 - FRA_B_2"
"2006-11-09 - 2009-09-24","GBR_B_2 - ITA_B_2"
"2006-11-09 - 2009-09-24","JPN_B_2 - ITA_B_2"
"2006-11-09 - 2009-09-24","AUS_B_2 - JPN_B_2"
"2006-11-09 - 2009-09-24","DEU_B_2 - NOR_B_2"
"2006-11-09 - 2009-09-24","FRA_B_2 - NOR_B_2"
"2006-11-09 - 2009-09-24","GBR_B_3 - AUS_B_3"
"2006-11-09 - 2009-09-24","ITA_B_3 - CAN_B_3"
"2006-11-09 - 2009-09-24","AUS_B_3 - CHE_B_3"
"2006-11-09 - 2009-09-24","CAN_B_3 - DEU_B_3"
"2006-11-09 - 2009-09-24","USA_B_3 - DEU_B_3"
"2006-11-09 - 2009-09-24","CAN_B_3 - FRA_B_3"
"2006-11-09 - 2009-09-24","USA_B_3 - FRA_B_3"
"2006-11-09 - 2009-09-24","CAN_B_3 - ITA_B_3"
"2006-11-09 - 2009-09-24","USA_B_3 - ITA_B_3"
"2006-11-09 - 2009-09-24","CHE_B_3 - MEX_B_3"
"2006-11-09 - 2009-09-24","USA_B_3 - MEX_B_3"
"2006-11-09 - 2009-09-24","CHN_B_3 - NOR_B_3"
"2006-11-09 - 2009-09-24","NOR_B_3 - USA_B_3"
"2006-11-16 - 2009-10-01","CHN_B_1 - FRA_B_1"
"2006-11-16 - 2009-10-01","CHE_B_1 - GBR_B_1"
"2006-11-16 - 2009-10-01","USA_B_1 - GBR_B_1"
"2006-11-16 - 2009-10-01","CHN_B_1 - ITA_B_1"
"2006-11-16 - 2009-10-01","DEU_B_1 - ITA_B_1"
"2006-11-16 - 2009-10-01","FRA_B_1 - ITA_B_1"
"2006-11-16 - 2009-10-01","GBR_B_1 - MEX_B_1"
"2006-11-16 - 2009-10-01","ITA_B_1 - MEX_B_1"
"2006-11-16 - 2009-10-01","DEU_B_2 - CAN_B_2"
"2006-11-16 - 2009-10-01","CHN_B_2 - CHE_B_2"
"2006-11-16 - 2009-10-01","GBR_B_2 - DEU_B_2"
"2006-11-16 - 2009-10-01","ITA_B_2 - DEU_B_2"
"2006-11-16 - 2009-10-01","ITA_B_2 - FRA_B_2"
"2006-11-16 - 2009-10-01","NOR_B_2 - FRA_B_2"
"2006-11-16 - 2009-10-01","AUS_B_2 - ITA_B_2"
"2006-11-16 - 2009-10-01","GBR_B_2 - ITA_B_2"
"2006-11-16 - 2009-10-01","JPN_B_2 - ITA_B_2"
"2006-11-16 - 2009-10-01","AUS_B_2 - JPN_B_2"
"2006-11-16 - 2009-10-01","AUS_B_2 - MEX_B_2"
"2006-11-16 - 2009-10-01","DEU_B_2 - NOR_B_2"
"2006-11-16 - 2009-10-01","FRA_B_2 - NOR_B_2"
"2006-11-16 - 2009-10-01","GBR_B_3 - AUS_B_3"
"2006-11-16 - 2009-10-01","ITA_B_3 - CAN_B_3"
"2006-11-16 - 2009-10-01","USA_B_3 - DEU_B_3"
"2006-11-16 - 2009-10-01","CAN_B_3 - FRA_B_3"
"2006-11-16 - 2009-10-01","USA_B_3 - FRA_B_3"
"2006-11-16 - 2009-10-01","USA_B_3 - ITA_B_3"
"2006-11-16 - 2009-10-01","CHE_B_3 - MEX_B_3"
"2006-11-16 - 2009-10-01","USA_B_3 - MEX_B_3"
"2006-11-16 - 2009-10-01","CHN_B_3 - NOR_B_3"
"2006-11-16 - 2009-10-01","NOR_B_3 - USA_B_3"
"2006-11-23 - 2009-10-08","CHN_B_1 - FRA_B_1"
"2006-11-23 - 2009-10-08","CHE_B_1 - GBR_B_1"
"2006-11-23 - 2009-10-08","CHN_B_1 - ITA_B_1"
"2006-11-23 - 2009-10-08","FRA_B_1 - ITA_B_1"
"2006-11-23 - 2009-10-08","GBR_B_1 - MEX_B_1"
"2006-11-23 - 2009-10-08","DEU_B_2 - CAN_B_2"
"2006-11-23 - 2009-10-08","CHN_B_2 - CHE_B_2"
"2006-11-23 - 2009-10-08","GBR_B_2 - DEU_B_2"
"2006-11-23 - 2009-10-08","ITA_B_2 - FRA_B_2"
"2006-11-23 - 2009-10-08","NOR_B_2 - FRA_B_2"
"2006-11-23 - 2009-10-08","AUS_B_2 - ITA_B_2"
"2006-11-23 - 2009-10-08","GBR_B_2 - ITA_B_2"
"2006-11-23 - 2009-10-08","JPN_B_2 - ITA_B_2"
"2006-11-23 - 2009-10-08","AUS_B_2 - JPN_B_2"
"2006-11-23 - 2009-10-08","AUS_B_2 - MEX_B_2"
"2006-11-23 - 2009-10-08","FRA_B_2 - NOR_B_2"
"2006-11-23 - 2009-10-08","GBR_B_3 - AUS_B_3"
"2006-11-23 - 2009-10-08","ITA_B_3 - AUS_B_3"
"2006-11-23 - 2009-10-08","USA_B_3 - DEU_B_3"
"2006-11-23 - 2009-10-08","CAN_B_3 - FRA_B_3"
"2006-11-23 - 2009-10-08","USA_B_3 - FRA_B_3"
"2006-11-23 - 2009-10-08","USA_B_3 - ITA_B_3"
"2006-11-23 - 2009-10-08","CHE_B_3 - MEX_B_3"
"2006-11-23 - 2009-10-08","USA_B_3 - MEX_B_3"
"2006-11-23 - 2009-10-08","CHN_B_3 - NOR_B_3"
"2006-11-23 - 2009-10-08","GBR_B_3 - USA_B_3"
"2006-11-23 - 2009-10-08","NOR_B_3 - USA_B_3"
"2006-11-30 - 2009-10-15","CHE_B_1 - FRA_B_1"
"2006-11-30 - 2009-10-15","CHN_B_1 - FRA_B_1"
"2006-11-30 - 2009-10-15","CHE_B_1 - GBR_B_1"
"2006-11-30 - 2009-10-15","CHN_B_1 - ITA_B_1"
"2006-11-30 - 2009-10-15","FRA_B_1 - ITA_B_1"
"2006-11-30 - 2009-10-15","GBR_B_1 - MEX_B_1"
"2006-11-30 - 2009-10-15","ITA_B_1 - MEX_B_1"
"2006-11-30 - 2009-10-15","DEU_B_1 - USA_B_1"
"2006-11-30 - 2009-10-15","DEU_B_2 - CAN_B_2"
"2006-11-30 - 2009-10-15","GBR_B_2 - DEU_B_2"
"2006-11-30 - 2009-10-15","ITA_B_2 - FRA_B_2"
"2006-11-30 - 2009-10-15","NOR_B_2 - FRA_B_2"
"2006-11-30 - 2009-10-15","AUS_B_2 - ITA_B_2"
"2006-11-30 - 2009-10-15","GBR_B_2 - ITA_B_2"
"2006-11-30 - 2009-10-15","JPN_B_2 - ITA_B_2"
"2006-11-30 - 2009-10-15","AUS_B_2 - JPN_B_2"
"2006-11-30 - 2009-10-15","AUS_B_2 - MEX_B_2"
"2006-11-30 - 2009-10-15","FRA_B_2 - NOR_B_2"
"2006-11-30 - 2009-10-15","ITA_B_3 - AUS_B_3"
"2006-11-30 - 2009-10-15","USA_B_3 - DEU_B_3"
"2006-11-30 - 2009-10-15","CAN_B_3 - FRA_B_3"
"2006-11-30 - 2009-10-15","USA_B_3 - FRA_B_3"
"2006-11-30 - 2009-10-15","USA_B_3 - ITA_B_3"
"2006-11-30 - 2009-10-15","CHE_B_3 - MEX_B_3"
"2006-11-30 - 2009-10-15","USA_B_3 - MEX_B_3"
"2006-11-30 - 2009-10-15","CHN_B_3 - NOR_B_3"
"2006-11-30 - 2009-10-15","NOR_B_3 - USA_B_3"
"2006-12-07 - 2009-10-22","CAN_B_1 - AUS_B_1"
"2006-12-07 - 2009-10-22","CHE_B_1 - CAN_B_1"
"2006-12-07 - 2009-10-22","ITA_B_1 - CHE_B_1"
"2006-12-07 - 2009-10-22","CHE_B_1 - DEU_B_1"
"2006-12-07 - 2009-10-22","CHE_B_1 - FRA_B_1"
"2006-12-07 - 2009-10-22","CHN_B_1 - FRA_B_1"
"2006-12-07 - 2009-10-22","CHE_B_1 - GBR_B_1"
"2006-12-07 - 2009-10-22","USA_B_1 - GBR_B_1"
"2006-12-07 - 2009-10-22","CAN_B_1 - ITA_B_1"
"2006-12-07 - 2009-10-22","CHE_B_1 - ITA_B_1"
"2006-12-07 - 2009-10-22","FRA_B_1 - ITA_B_1"
"2006-12-07 - 2009-10-22","GBR_B_1 - MEX_B_1"
"2006-12-07 - 2009-10-22","ITA_B_1 - MEX_B_1"
"2006-12-07 - 2009-10-22","CAN_B_1 - NOR_B_1"
"2006-12-07 - 2009-10-22","DEU_B_1 - USA_B_1"
"2006-12-07 - 2009-10-22","DEU_B_2 - CAN_B_2"
"2006-12-07 - 2009-10-22","ITA_B_2 - FRA_B_2"
"2006-12-07 - 2009-10-22","NOR_B_2 - FRA_B_2"
"2006-12-07 - 2009-10-22","AUS_B_2 - ITA_B_2"
"2006-12-07 - 2009-10-22","GBR_B_2 - ITA_B_2"
"2006-12-07 - 2009-10-22","JPN_B_2 - ITA_B_2"
"2006-12-07 - 2009-10-22","AUS_B_2 - JPN_B_2"
"2006-12-07 - 2009-10-22","AUS_B_2 - MEX_B_2"
"2006-12-07 - 2009-10-22","FRA_B_2 - NOR_B_2"
"2006-12-07 - 2009-10-22","CHN_B_2 - USA_B_2"
"2006-12-07 - 2009-10-22","ITA_B_3 - AUS_B_3"
"2006-12-07 - 2009-10-22","USA_B_3 - DEU_B_3"
"2006-12-07 - 2009-10-22","CAN_B_3 - FRA_B_3"
"2006-12-07 - 2009-10-22","USA_B_3 - FRA_B_3"
"2006-12-07 - 2009-10-22","USA_B_3 - ITA_B_3"
"2006-12-07 - 2009-10-22","CHE_B_3 - MEX_B_3"
"2006-12-07 - 2009-10-22","USA_B_3 - MEX_B_3"
"2006-12-07 - 2009-10-22","CHN_B_3 - NOR_B_3"
"2006-12-07 - 2009-10-22","NOR_B_3 - USA_B_3"
"2006-12-14 - 2009-10-29","CAN_B_1 - AUS_B_1"
"2006-12-14 - 2009-10-29","GBR_B_1 - AUS_B_1"
"2006-12-14 - 2009-10-29","ITA_B_1 - CHE_B_1"
"2006-12-14 - 2009-10-29","CHE_B_1 - FRA_B_1"
"2006-12-14 - 2009-10-29","CHN_B_1 - FRA_B_1"
"2006-12-14 - 2009-10-29","JPN_B_1 - FRA_B_1"
"2006-12-14 - 2009-10-29","CHE_B_1 - GBR_B_1"
"2006-12-14 - 2009-10-29","USA_B_1 - GBR_B_1"
"2006-12-14 - 2009-10-29","CHE_B_1 - ITA_B_1"
"2006-12-14 - 2009-10-29","FRA_B_1 - ITA_B_1"
"2006-12-14 - 2009-10-29","GBR_B_1 - MEX_B_1"
"2006-12-14 - 2009-10-29","ITA_B_1 - MEX_B_1"
"2006-12-14 - 2009-10-29","DEU_B_1 - USA_B_1"
"2006-12-14 - 2009-10-29","FRA_B_1 - USA_B_1"
"2006-12-14 - 2009-10-29","DEU_B_2 - CAN_B_2"
"2006-12-14 - 2009-10-29","GBR_B_2 - DEU_B_2"
"2006-12-14 - 2009-10-29","ITA_B_2 - FRA_B_2"
"2006-12-14 - 2009-10-29","NOR_B_2 - FRA_B_2"
"2006-12-14 - 2009-10-29","AUS_B_2 - ITA_B_2"
"2006-12-14 - 2009-10-29","GBR_B_2 - ITA_B_2"
"2006-12-14 - 2009-10-29","JPN_B_2 - ITA_B_2"
"2006-12-14 - 2009-10-29","AUS_B_2 - JPN_B_2"
"2006-12-14 - 2009-10-29","AUS_B_2 - MEX_B_2"
"2006-12-14 - 2009-10-29","CAN_B_2 - MEX_B_2"
"2006-12-14 - 2009-10-29","FRA_B_2 - NOR_B_2"
"2006-12-14 - 2009-10-29","CHN_B_2 - USA_B_2"
"2006-12-14 - 2009-10-29","USA_B_3 - DEU_B_3"
"2006-12-14 - 2009-10-29","CAN_B_3 - FRA_B_3"
"2006-12-14 - 2009-10-29","USA_B_3 - FRA_B_3"
"2006-12-14 - 2009-10-29","USA_B_3 - ITA_B_3"
"2006-12-14 - 2009-10-29","USA_B_3 - MEX_B_3"
"2006-12-14 - 2009-10-29","CHN_B_3 - NOR_B_3"
"2006-12-14 - 2009-10-29","NOR_B_3 - USA_B_3"
"2006-12-21 - 2009-11-05","CAN_B_1 - AUS_B_1"
"2006-12-21 - 2009-11-05","GBR_B_1 - AUS_B_1"
"2006-12-21 - 2009-11-05","CHE_B_1 - CAN_B_1"
"2006-12-21 - 2009-11-05","CHN_B_1 - FRA_B_1"
"2006-12-21 - 2009-11-05","JPN_B_1 - FRA_B_1"
"2006-12-21 - 2009-11-05","CHE_B_1 - GBR_B_1"
"2006-12-21 - 2009-11-05","CAN_B_1 - ITA_B_1"
"2006-12-21 - 2009-11-05","CHE_B_1 - ITA_B_1"
"2006-12-21 - 2009-11-05","DEU_B_1 - ITA_B_1"
"2006-12-21 - 2009-11-05","FRA_B_1 - ITA_B_1"
"2006-12-21 - 2009-11-05","GBR_B_1 - MEX_B_1"
"2006-12-21 - 2009-11-05","ITA_B_1 - MEX_B_1"
"2006-12-21 - 2009-11-05","DEU_B_1 - USA_B_1"
"2006-12-21 - 2009-11-05","DEU_B_2 - CAN_B_2"
"2006-12-21 - 2009-11-05","GBR_B_2 - DEU_B_2"
"2006-12-21 - 2009-11-05","ITA_B_2 - FRA_B_2"
"2006-12-21 - 2009-11-05","NOR_B_2 - FRA_B_2"
"2006-12-21 - 2009-11-05","GBR_B_2 - ITA_B_2"
"2006-12-21 - 2009-11-05","JPN_B_2 - ITA_B_2"
"2006-12-21 - 2009-11-05","AUS_B_2 - JPN_B_2"
"2006-12-21 - 2009-11-05","AUS_B_2 - MEX_B_2"
"2006-12-21 - 2009-11-05","FRA_B_2 - NOR_B_2"
"2006-12-21 - 2009-11-05","CHN_B_2 - USA_B_2"
"2006-12-21 - 2009-11-05","USA_B_3 - DEU_B_3"
"2006-12-21 - 2009-11-05","CAN_B_3 - FRA_B_3"
"2006-12-21 - 2009-11-05","USA_B_3 - FRA_B_3"
"2006-12-21 - 2009-11-05","USA_B_3 - ITA_B_3"
"2006-12-21 - 2009-11-05","USA_B_3 - MEX_B_3"
"2006-12-21 - 2009-11-05","CHN_B_3 - NOR_B_3"
"2006-12-21 - 2009-11-05","NOR_B_3 - USA_B_3"
"2006-12-28 - 2009-11-12","CAN_B_1 - AUS_B_1"
"2006-12-28 - 2009-11-12","GBR_B_1 - AUS_B_1"
"2006-12-28 - 2009-11-12","GBR_B_1 - CHE_B_1"
